ano,regiao_administrativa,mortalidade_infancia,prop_baixo_peso_nascer,mortalidade_materna,taxa_internacoes_infantis_crise_respiratoria_aguda,prop_acesso_agua_canalizada,prop_acesso_esgotamento_sanitario,prop_acesso_banheiro,prop_populacao_vivendo_favelas_nao_urbanizadas,prop_acesso_energia_eletrica,prop_adensamento_habitacional_excessivo,taxa_homicidios,taxa_roubos_rua,prop_alfabetizacao,qualidade_ensino_fundamental_anos_iniciais,qualidade_ensino_fundamental_anos_finais,prop_abandono_escolar_ensino_medio,prop_acesso_telefone_celular_fixo,prop_acesso_internet,taxa_mortalidade_doencas_cronicas,taxa_incidencia_dengue,taxa_mortalidade_tuberculose_hiv,prop_coleta_seletiva_lixo,degradacao_areas_verdes,prop_mobilidade_urbana,taxa_homicidios_acao_policial,tempo_medio_deslocamento,taxa_participacao_politica,prop_gravidez_adolescencia,trabalho_infantil,indice_acesso_cultura,taxa_violencia_contra_mulher,taxa_homicidios_jovens_negros,prop_vulnerabilidade_familiar,prop_pessoas_ensino_superior,prop_negros_indigenas_ensino_superior,prop_frequencia_ensino_superior,area_planejamento
2018,Rio Comprido,2.38,10.04,29.01,8.28,99.46,93.03,96.45,17.47,90.77,8.13,26.93,16.04,67.5,5.28,4.78,10.68,95.31,45.88,232.61,1152.03,15.92,2.65,0.0,56.37,20.81,23.25,0.23,16.86,3.67,17.89,303.62,9.79,2.28,15.16,6.63,21.8,Centro
2018,Botafogo,1.08,8.11,30.57,2.26,99.87,99.07,99.33,1.67,98.66,0.77,11.24,9.66,54.31,6.27,5.5,14.18,99.76,75.55,137.83,117.84,7.08,9.72,-0.0,73.28,2.5,25.65,0.23,4.71,2.08,58.81,214.45,1.67,0.49,57.03,35.17,68.69,Zona Sul
2018,Copacabana,1.9,9.04,54.08,2.99,99.92,99.36,99.49,1.73,97.2,1.07,9.31,6.73,59.0,6.13,4.8,15.75,99.39,71.96,165.64,101.74,8.68,8.12,-0.01,93.53,2.48,24.71,0.25,7.18,1.24,32.22,230.15,3.1,0.55,50.49,28.34,58.69,Zona Sul
2018,Lagoa,2.19,9.36,0.0,5.0,99.6,99.44,99.74,2.71,98.63,1.98,6.68,8.26,55.66,5.94,5.06,6.02,99.59,79.68,130.64,109.98,3.65,10.03,-0.0,62.19,1.22,27.6,0.23,4.41,1.82,89.05,159.2,0.61,0.6,58.13,18.82,66.48,Zona Sul
2018,São Cristovão,3.51,9.56,45.78,14.3,99.41,93.17,97.26,16.46,88.83,7.09,45.05,22.96,48.37,5.91,4.8,27.97,95.31,36.6,231.47,287.98,17.39,3.49,0.0,55.35,29.6,28.55,0.21,16.53,4.35,7.28,307.01,12.27,3.22,8.79,5.84,19.24,Centro
2018,Tijuca,2.12,9.79,0.0,5.94,96.66,96.03,99.51,1.35,97.32,1.85,14.74,14.3,47.69,6.03,4.53,11.2,99.2,71.07,181.09,96.58,8.78,2.06,-0.0,80.6,5.52,22.18,0.21,7.45,9.33,81.97,186.91,4.04,0.61,46.34,24.62,61.74,Tijuca
2018,Vila Isabel,2.43,8.79,20.76,8.54,98.71,98.54,99.49,10.28,92.86,2.12,15.66,11.31,47.95,5.91,5.08,12.54,98.54,68.2,178.54,429.87,6.28,3.33,0.0,33.3,4.17,30.08,0.21,8.39,8.38,9.18,160.43,3.44,1.19,40.72,25.81,54.24,Tijuca
2018,Ramos,1.99,8.53,11.84,32.9,99.5,97.18,99.11,24.44,90.64,6.63,39.69,11.75,43.17,5.59,4.74,17.26,97.23,47.66,326.67,477.39,27.17,0.44,-0.0,89.3,13.92,23.08,0.2,17.19,15.52,5.28,214.42,11.03,2.0,13.43,8.36,23.89,Ramos
2018,Penha,2.07,9.44,70.06,19.8,99.83,97.4,99.63,7.44,97.53,5.93,27.26,9.83,45.77,5.59,4.78,16.68,95.22,48.67,412.3,994.11,14.44,2.25,0.0,72.81,9.65,28.08,0.2,13.25,27.81,24.3,205.05,7.54,1.95,13.39,8.65,20.93,Penha
2018,Inhaúma,1.76,9.6,72.57,15.8,99.02,94.73,99.56,9.83,96.29,6.08,24.22,10.6,41.91,5.56,4.47,12.32,95.71,47.26,276.72,474.16,13.95,1.39,-0.02,88.79,13.95,20.05,0.2,13.61,13.21,41.2,167.35,8.81,1.98,14.39,11.42,29.18,Inhaúna
2018,Méier,2.66,9.5,46.18,17.9,98.77,96.07,99.11,11.45,96.26,3.25,20.62,13.63,43.88,5.77,4.78,14.52,97.91,58.88,227.47,382.97,14.09,1.87,-0.01,58.42,6.38,28.05,0.2,11.63,9.81,32.66,227.43,7.11,1.09,24.11,17.76,38.98,Méier
